"","Strain","compound","presence"
"1","NBC","MBOA_AMPO",FALSE
"2","NBC","MBOA_MHPA",FALSE
"3","NBC","DMG_MBOA",FALSE
"4","NBC","AMPO_MBOA_Glc",FALSE
"5","LWO13","MBOA_AMPO",FALSE
"6","LWO13","MBOA_MHPA",FALSE
"7","LWO13","DMG_MBOA",FALSE
"8","LWO13","AMPO_MBOA_Glc",TRUE
"9","Root61","MBOA_AMPO",FALSE
"10","Root61","MBOA_MHPA",FALSE
"11","Root61","DMG_MBOA",TRUE
"12","Root61","AMPO_MBOA_Glc",FALSE
"13","LMS4","MBOA_AMPO",TRUE
"14","LMS4","MBOA_MHPA",FALSE
"15","LMS4","DMG_MBOA",FALSE
"16","LMS4","AMPO_MBOA_Glc",TRUE
"17","Root53","MBOA_AMPO",FALSE
"18","Root53","MBOA_MHPA",FALSE
"19","Root53","DMG_MBOA",FALSE
"20","Root53","AMPO_MBOA_Glc",TRUE
"21","LWH10","MBOA_AMPO",TRUE
"22","LWH10","MBOA_MHPA",TRUE
"23","LWH10","DMG_MBOA",FALSE
"24","LWH10","AMPO_MBOA_Glc",TRUE
"25","LWH7","MBOA_AMPO",TRUE
"26","LWH7","MBOA_MHPA",FALSE
"27","LWH7","DMG_MBOA",FALSE
"28","LWH7","AMPO_MBOA_Glc",FALSE
"29","Leaf159","MBOA_AMPO",FALSE
"30","Leaf159","MBOA_MHPA",FALSE
"31","Leaf159","DMG_MBOA",TRUE
"32","Leaf159","AMPO_MBOA_Glc",FALSE
"33","LMI1","MBOA_AMPO",FALSE
"34","LMI1","MBOA_MHPA",FALSE
"35","LMI1","DMG_MBOA",TRUE
"36","LMI1","AMPO_MBOA_Glc",FALSE
"37","Leaf1","MBOA_AMPO",FALSE
"38","Leaf1","MBOA_MHPA",FALSE
"39","Leaf1","DMG_MBOA",TRUE
"40","Leaf1","AMPO_MBOA_Glc",FALSE
"41","Root322","MBOA_AMPO",FALSE
"42","Root322","MBOA_MHPA",FALSE
"43","Root322","DMG_MBOA",TRUE
"44","Root322","AMPO_MBOA_Glc",FALSE
"45","LWH11","MBOA_AMPO",TRUE
"46","LWH11","MBOA_MHPA",TRUE
"47","LWH11","DMG_MBOA",FALSE
"48","LWH11","AMPO_MBOA_Glc",FALSE
"49","Root280D1","MBOA_AMPO",FALSE
"50","Root280D1","MBOA_MHPA",FALSE
"51","Root280D1","DMG_MBOA",TRUE
"52","Root280D1","AMPO_MBOA_Glc",TRUE
"53","LWH13","MBOA_AMPO",TRUE
"54","LWH13","MBOA_MHPA",FALSE
"55","LWH13","DMG_MBOA",FALSE
"56","LWH13","AMPO_MBOA_Glc",FALSE
"57","LBN7","MBOA_AMPO",TRUE
"58","LBN7","MBOA_MHPA",TRUE
"59","LBN7","DMG_MBOA",FALSE
"60","LBN7","AMPO_MBOA_Glc",TRUE
"61","Leaf436","MBOA_AMPO",FALSE
"62","Leaf436","MBOA_MHPA",FALSE
"63","Leaf436","DMG_MBOA",TRUE
"64","Leaf436","AMPO_MBOA_Glc",FALSE
"65","Leaf161","MBOA_AMPO",FALSE
"66","Leaf161","MBOA_MHPA",FALSE
"67","Leaf161","DMG_MBOA",TRUE
"68","Leaf161","AMPO_MBOA_Glc",TRUE
"69","Root1433D1","MBOA_AMPO",FALSE
"70","Root1433D1","MBOA_MHPA",FALSE
"71","Root1433D1","DMG_MBOA",TRUE
"72","Root1433D1","AMPO_MBOA_Glc",FALSE
"73","LMI1x","MBOA_AMPO",FALSE
"74","LMI1x","MBOA_MHPA",FALSE
"75","LMI1x","DMG_MBOA",TRUE
"76","LMI1x","AMPO_MBOA_Glc",FALSE
"77","LMX7","MBOA_AMPO",TRUE
"78","LMX7","MBOA_MHPA",FALSE
"79","LMX7","DMG_MBOA",FALSE
"80","LMX7","AMPO_MBOA_Glc",FALSE
"81","LM3X","MBOA_AMPO",TRUE
"82","LM3X","MBOA_MHPA",FALSE
"83","LM3X","DMG_MBOA",FALSE
"84","LM3X","AMPO_MBOA_Glc",FALSE
"85","Leaf171","MBOA_AMPO",FALSE
"86","Leaf171","MBOA_MHPA",FALSE
"87","Leaf171","DMG_MBOA",TRUE
"88","Leaf171","AMPO_MBOA_Glc",FALSE
"89","LWH3","MBOA_AMPO",TRUE
"90","LWH3","MBOA_MHPA",FALSE
"91","LWH3","DMG_MBOA",FALSE
"92","LWH3","AMPO_MBOA_Glc",TRUE
"93","Leaf203","MBOA_AMPO",FALSE
"94","Leaf203","MBOA_MHPA",FALSE
"95","Leaf203","DMG_MBOA",FALSE
"96","Leaf203","AMPO_MBOA_Glc",TRUE
"97","LMI12","MBOA_AMPO",FALSE
"98","LMI12","MBOA_MHPA",FALSE
"99","LMI12","DMG_MBOA",TRUE
"100","LMI12","AMPO_MBOA_Glc",TRUE
"101","LMI13","MBOA_AMPO",FALSE
"102","LMI13","MBOA_MHPA",FALSE
"103","LMI13","DMG_MBOA",TRUE
"104","LMI13","AMPO_MBOA_Glc",TRUE
"105","LWO14","MBOA_AMPO",TRUE
"106","LWO14","MBOA_MHPA",FALSE
"107","LWO14","DMG_MBOA",FALSE
"108","LWO14","AMPO_MBOA_Glc",FALSE
"109","Leaf288","MBOA_AMPO",FALSE
"110","Leaf288","MBOA_MHPA",FALSE
"111","Leaf288","DMG_MBOA",TRUE
"112","Leaf288","AMPO_MBOA_Glc",FALSE
"113","Leaf179","MBOA_AMPO",FALSE
"114","Leaf179","MBOA_MHPA",FALSE
"115","Leaf179","DMG_MBOA",TRUE
"116","Leaf179","AMPO_MBOA_Glc",TRUE
"117","LWH12","MBOA_AMPO",FALSE
"118","LWH12","MBOA_MHPA",FALSE
"119","LWH12","DMG_MBOA",FALSE
"120","LWH12","AMPO_MBOA_Glc",TRUE
"121","LMI11","MBOA_AMPO",FALSE
"122","LMI11","MBOA_MHPA",FALSE
"123","LMI11","DMG_MBOA",TRUE
"124","LMI11","AMPO_MBOA_Glc",FALSE
"125","Leaf314","MBOA_AMPO",FALSE
"126","Leaf314","MBOA_MHPA",FALSE
"127","Leaf314","DMG_MBOA",TRUE
"128","Leaf314","AMPO_MBOA_Glc",TRUE
"129","LMB2","MBOA_AMPO",TRUE
"130","LMB2","MBOA_MHPA",FALSE
"131","LMB2","DMG_MBOA",FALSE
"132","LMB2","AMPO_MBOA_Glc",FALSE
"133","Leaf320","MBOA_AMPO",FALSE
"134","Leaf320","MBOA_MHPA",FALSE
"135","Leaf320","DMG_MBOA",TRUE
"136","Leaf320","AMPO_MBOA_Glc",FALSE
"137","LWS13","MBOA_AMPO",TRUE
"138","LWS13","MBOA_MHPA",FALSE
"139","LWS13","DMG_MBOA",FALSE
"140","LWS13","AMPO_MBOA_Glc",FALSE
"141","Leaf151","MBOA_AMPO",FALSE
"142","Leaf151","MBOA_MHPA",FALSE
"143","Leaf151","DMG_MBOA",TRUE
"144","Leaf151","AMPO_MBOA_Glc",TRUE
"145","Root166","MBOA_AMPO",FALSE
"146","Root166","MBOA_MHPA",FALSE
"147","Root166","DMG_MBOA",FALSE
"148","Root166","AMPO_MBOA_Glc",FALSE
"149","LTA6","MBOA_AMPO",FALSE
"150","LTA6","MBOA_MHPA",FALSE
"151","LTA6","DMG_MBOA",FALSE
"152","LTA6","AMPO_MBOA_Glc",TRUE
"153","LWO12","MBOA_AMPO",TRUE
"154","LWO12","MBOA_MHPA",TRUE
"155","LWO12","DMG_MBOA",FALSE
"156","LWO12","AMPO_MBOA_Glc",FALSE
