Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0003504	0	6	19	4	0.0	40.0	0.0	0.0004420866489831977	0.07957559681697558	0.026973026973026972	4	0	4	0.125	0.125
OG0003849	1	8	18	2	5.263157894736842	20.0	0.013888888888888888	8.637040121297944e-05	0.0155466722183363	0.04595404595404595	4	0	4	0.125	0.125
OG0002872	1	8	18	2	5.263157894736842	20.0	0.013888888888888888	8.637040121297944e-05	0.0155466722183363	0.04795204795204795	4	0	4	0.125	0.125
OG0002048	4	9	15	1	21.052631578947366	10.0	0.02962962962962963	0.0009852216748768446	0.17733990147783202	0.057942057942057944	5	1	5	0.0625	0.375
OG0002870	6	9	13	1	31.57894736842105	10.0	0.05128205128205128	0.005197401299350226	0.9355322338830406	0.06293706293706294	4	0	4	0.125	0.125
OG0001882	19	5	0	5	100.0	50.0	inf	0.002122015915119365	0.38196286472148566	0.06993006993006994	3	3	0	0.25	0.25
OG0004456	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.07092907092907093	3	0	3	0.25	0.25
OG0004457	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.07092907092907093	3	0	3	0.25	0.25
OG0002602	18	2	1	8	94.73684210526315	80.0	72.0	8.637040121297944e-05	0.0155466722183363	0.07392607392607392	4	4	1	0.125	0.625
OG0002420	5	9	14	1	26.31578947368421	10.0	0.03968253968253968	0.0016991504247875684	0.3058470764617623	0.07892107892107893	5	1	5	0.0625	0.375
OG0003326	1	6	18	4	5.263157894736842	40.0	0.037037037037037035	0.002633298735247753	0.47399377234459555	0.08191808191808192	3	1	3	0.25	1.0
OG0004853	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.08191808191808192	3	0	3	0.25	0.25
OG0000173	1	8	18	2	5.263157894736842	20.0	0.013888888888888888	8.637040121297944e-05	0.0155466722183363	0.08491508491508491	4	1	4	0.125	0.625
OG0003182	1	8	18	2	5.263157894736842	20.0	0.013888888888888888	8.637040121297944e-05	0.0155466722183363	0.08491508491508491	4	1	4	0.125	0.625
OG0004173	0	6	19	4	0.0	40.0	0.0	0.0004420866489831977	0.07957559681697558	0.08891108891108891	3	0	3	0.25	0.25
OG0004876	0	5	19	5	0.0	50.0	0.0	0.002122015915119365	0.38196286472148566	0.09090909090909091	3	0	3	0.25	0.25
OG0002600	18	3	1	7	94.73684210526315	70.0	42.0	0.0005416871983588667	0.097503695704596	0.0969030969030969	5	4	1	0.375	0.375
OG0004511	0	6	19	4	0.0	40.0	0.0	0.0004420866489831977	0.07957559681697558	0.11188811188811189	3	0	3	0.25	0.25
OG0002551	1	8	18	2	5.263157894736842	20.0	0.013888888888888888	8.637040121297944e-05	0.0155466722183363	0.1258741258741259	5	1	4	0.375	0.375
OG0003411	0	6	19	4	0.0	40.0	0.0	0.0004420866489831977	0.07957559681697558	0.12687312687312688	3	0	3	0.25	0.25
OG0002440	14	1	5	9	73.68421052631578	90.0	25.2	0.0016991504247875684	0.3058470764617623	0.13486513486513488	5	5	1	0.0625	0.375
OG0002441	14	1	5	9	73.68421052631578	90.0	25.2	0.0016991504247875684	0.3058470764617623	0.13486513486513488	5	5	1	0.0625	0.375
OG0003132	12	0	7	10	63.1578947368421	100.0	inf	0.0011609579825471934	0.20897243685849481	0.13786213786213786	6	6	0	0.03125	0.03125
OG0002316	8	10	11	0	42.10526315789473	0.0	0.0	0.0034949558187939065	0.6290920473829031	0.14285714285714285	5	0	5	0.0625	0.0625
OG0004198	1	6	18	4	5.263157894736842	40.0	0.037037037037037035	0.002633298735247753	0.47399377234459555	0.14485514485514486	3	1	3	0.25	1.0
OG0003275	1	7	18	3	5.263157894736842	30.0	0.023809523809523808	0.0005416871983588667	0.097503695704596	0.14585414585414586	3	0	3	0.25	0.25
OG0003273	1	7	18	3	5.263157894736842	30.0	0.023809523809523808	0.0005416871983588667	0.097503695704596	0.14585414585414586	3	0	3	0.25	0.25
OG0003274	1	7	18	3	5.263157894736842	30.0	0.023809523809523808	0.0005416871983588667	0.097503695704596	0.14585414585414586	3	0	3	0.25	0.25
OG0003161	1	7	18	3	5.263157894736842	30.0	0.023809523809523808	0.0005416871983588667	0.097503695704596	0.14585414585414586	3	0	3	0.25	0.25
OG0004469	0	6	19	4	0.0	40.0	0.0	0.0004420866489831977	0.07957559681697558	0.14985014985014986	3	0	3	0.25	0.25
OG0004205	0	6	19	4	0.0	40.0	0.0	0.0004420866489831977	0.07957559681697558	0.14985014985014986	3	0	3	0.25	0.25
OG0002477	19	3	0	7	100.0	70.0	inf	7.68846346057738e-05	0.013839234229039285	0.16283716283716285	3	3	0	0.25	0.25
OG0001787	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0002149	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0002971	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0003518	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0003524	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0003516	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0002973	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0002972	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0003517	0	7	19	3	0.0	30.0	0.0	7.68846346057738e-05	0.013839234229039285	0.16583416583416583	3	0	3	0.25	0.25
OG0002811	2	7	17	3	10.526315789473683	30.0	0.05042016806722689	0.002135295988369434	0.38435327790649815	0.17582417582417584	3	0	3	0.25	0.25
OG0002598	16	2	3	8	84.21052631578947	80.0	21.333333333333332	0.0013103338440669798	0.23586009193205637	0.1848151848151848	5	4	1	0.375	0.375
OG0000607	18	4	1	6	94.73684210526315	60.0	27.0	0.002633298735247753	0.47399377234459555	0.19880119880119881	4	3	1	0.625	0.625
OG0003281	4	8	15	2	21.052631578947366	20.0	0.06666666666666667	0.004521914866742497	0.8139446760136495	0.2007992007992008	5	2	4	0.375	1.0
OG0002165	16	2	3	8	84.21052631578947	80.0	21.333333333333332	0.0013103338440669798	0.23586009193205637	0.20279720279720279	5	4	2	0.375	1.0
OG0002059	9	10	10	0	47.368421052631575	0.0	0.0	0.005005688963709889	0.90102401346778	0.21478521478521478	5	0	5	0.0625	0.0625
OG0002278	18	3	1	7	94.73684210526315	70.0	42.0	0.0005416871983588667	0.097503695704596	0.23576423576423577	3	3	1	0.25	1.0
OG0002394	18	3	1	7	94.73684210526315	70.0	42.0	0.0005416871983588667	0.097503695704596	0.23576423576423577	3	3	1	0.25	1.0
OG0003250	11	0	8	10	57.89473684210527	100.0	inf	0.0034949558187939065	0.6290920473829031	0.23676323676323677	5	5	0	0.0625	0.0625
