Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0003504	9	2	7	21	56.25	91.30434782608695	13.5	0.0026460630692370607	0.8546783713635706	0.001998001998001998	5	5	2	0.0625	1.0
OG0003197	11	3	5	20	68.75	86.95652173913044	14.666666666666666	0.0005983874420424137	0.19327914377969962	0.02197802197802198	4	4	2	0.125	1.0
OG0002915	12	5	4	18	75.0	78.26086956521739	10.8	0.002533807873073738	0.8184199430028174	0.024975024975024976	4	4	3	0.125	0.625
OG0002678	12	5	4	18	75.0	78.26086956521739	10.8	0.002533807873073738	0.8184199430028174	0.026973026973026972	4	4	1	0.125	0.625
OG0002801	11	4	5	19	68.75	82.6086956521739	10.45	0.00221200518916932	0.7144776761016903	0.04095904095904096	6	6	1	0.03125	0.21875
OG0002600	3	19	13	4	18.75	17.391304347826086	0.048582995951417005	0.00018029495226380818	0.058235269581210045	0.04795204795204795	5	0	5	0.0625	0.0625
OG0003524	11	0	5	23	68.75	100.0	inf	2.6061181042463544e-06	0.0008417761476715725	0.04895104895104895	5	5	0	0.0625	0.0625
OG0002810	11	4	5	19	68.75	82.6086956521739	10.45	0.00221200518916932	0.7144776761016903	0.04895104895104895	4	4	0	0.125	0.125
OG0002086	16	5	0	18	100.0	78.26086956521739	inf	9.98057317944928e-07	0.00032237251369621173	0.05094905094905095	6	6	0	0.03125	0.03125
OG0001681	16	10	0	13	100.0	56.52173913043478	inf	0.0002821312446386025	0.0911283920182686	0.05194805194805195	5	5	0	0.0625	0.0625
OG0002485	12	5	4	18	75.0	78.26086956521739	10.8	0.002533807873073738	0.8184199430028174	0.054945054945054944	5	5	1	0.0625	0.375
OG0002551	16	3	0	20	100.0	86.95652173913044	inf	2.5695242602917513e-08	8.299563360742357e-06	0.057942057942057944	6	6	0	0.03125	0.03125
OG0001626	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.059940059940059943	4	4	0	0.125	0.125
OG0003709	9	0	7	23	56.25	100.0	inf	5.398387501653362e-05	0.01743679163034036	0.059940059940059943	5	5	0	0.0625	0.0625
OG0004490	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.06593406593406594	3	3	0	0.25	0.25
OG0003840	9	0	7	23	56.25	100.0	inf	5.398387501653362e-05	0.01743679163034036	0.06793206793206794	5	5	0	0.0625	0.0625
OG0003395	11	1	5	22	68.75	95.65217391304348	48.4	2.6154256689044404e-05	0.008447824910561343	0.06893106893106893	5	5	1	0.0625	0.375
OG0001860	15	10	1	13	93.75	56.52173913043478	19.5	0.0018118880993695497	0.5852398560963645	0.07292707292707293	5	5	1	0.0625	0.375
OG0002159	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.07492507492507493	4	4	0	0.125	0.125
OG0000197	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.07992007992007992	4	4	0	0.125	0.125
OG0003394	10	2	6	21	62.5	91.30434782608695	17.5	0.0008899427947768664	0.28745152271292784	0.08891108891108891	5	5	1	0.0625	0.375
OG0002191	15	6	1	17	93.75	73.91304347826086	42.5	4.393886485099026e-05	0.014192253346869854	0.0899100899100899	6	6	1	0.03125	0.21875
OG0002704	13	7	3	16	81.25	69.56521739130434	9.904761904761905	0.0030564491076171176	0.987233061760329	0.0919080919080919	3	3	2	0.25	1.0
OG0002705	13	7	3	16	81.25	69.56521739130434	9.904761904761905	0.0030564491076171176	0.987233061760329	0.0919080919080919	3	3	2	0.25	1.0
OG0003326	9	2	7	21	56.25	91.30434782608695	13.5	0.0026460630692370607	0.8546783713635706	0.1028971028971029	6	5	2	0.21875	0.6875
OG0002602	3	19	13	4	18.75	17.391304347826086	0.048582995951417005	0.00018029495226380818	0.058235269581210045	0.1108891108891109	4	2	4	0.125	1.0
OG0000108	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.1108891108891109	3	3	0	0.25	0.25
OG0003411	11	1	5	22	68.75	95.65217391304348	48.4	2.6154256689044404e-05	0.008447824910561343	0.11388611388611389	4	4	1	0.125	0.625
OG0002409	15	7	1	16	93.75	69.56521739130434	34.285714285714285	8.310382410259538e-05	0.026842535185138308	0.11488511488511488	5	5	1	0.0625	0.375
OG0002811	16	2	0	21	100.0	91.30434782608695	inf	4.057143568881783e-09	1.3104573727488158e-06	0.11988011988011989	6	6	0	0.03125	0.03125
OG0002576	14	7	2	16	87.5	69.56521739130434	16.0	0.0008178795720508886	0.264175101772437	0.11988011988011989	5	5	1	0.0625	0.375
