Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0004818	3	2	1	32	75.0	94.11764705882352	48.0	0.004538372959425684	0.7125245546298323	0.001998001998001998	2	2	0	0.5	0.5
OG0004830	3	2	1	32	75.0	94.11764705882352	48.0	0.004538372959425684	0.7125245546298323	0.005994005994005994	3	3	1	0.25	1.0
OG0005267	3	1	1	33	75.0	97.05882352941177	99.0	0.0018559913296755193	0.2913906387590565	0.007992007992007992	2	2	0	0.5	0.5
OG0004801	4	1	0	33	100.0	97.05882352941177	inf	6.773690984217284e-05	0.010634694845221136	0.008991008991008992	3	3	0	0.25	0.25
OG0004785	3	2	1	32	75.0	94.11764705882352	48.0	0.004538372959425684	0.7125245546298323	0.012987012987012988	2	2	0	0.5	0.5
OG0004760	3	1	1	33	75.0	97.05882352941177	99.0	0.0018559913296755193	0.2913906387590565	0.012987012987012988	2	2	1	0.5	1.0
OG0005272	3	1	1	33	75.0	97.05882352941177	99.0	0.0018559913296755193	0.2913906387590565	0.013986013986013986	2	2	1	0.5	1.0
OG0004796	3	2	1	32	75.0	94.11764705882352	48.0	0.004538372959425684	0.7125245546298323	0.015984015984015984	2	2	1	0.5	1.0
OG0005238	3	1	1	33	75.0	97.05882352941177	99.0	0.0018559913296755193	0.2913906387590565	0.016983016983016984	2	2	1	0.5	1.0
OG0003493	4	6	0	28	100.0	82.35294117647058	inf	0.0028449502133712835	0.4466571834992915	0.028971028971028972	2	2	0	0.5	0.5
OG0003154	4	7	0	27	100.0	79.41176470588235	inf	0.004470636049583445	0.7018898597846008	0.030969030969030968	3	3	0	0.25	0.25
OG0003516	4	7	0	27	100.0	79.41176470588235	inf	0.004470636049583445	0.7018898597846008	0.03496503496503497	3	3	0	0.25	0.25
OG0003517	4	7	0	27	100.0	79.41176470588235	inf	0.004470636049583445	0.7018898597846008	0.03496503496503497	3	3	0	0.25	0.25
OG0003518	4	7	0	27	100.0	79.41176470588235	inf	0.004470636049583445	0.7018898597846008	0.03496503496503497	3	3	0	0.25	0.25
OG0003290	4	7	0	27	100.0	79.41176470588235	inf	0.004470636049583445	0.7018898597846008	0.03596403596403597	3	3	0	0.25	0.25
