gene_id	symbol	entrezgene	chromosome_name	heatmap.id
LMB2-1.2_000001	NA	NA	NA	LMB2-1.2_000001
LMB2-1.2_000002	NA	NA	NA	LMB2-1.2_000002
LMB2-1.2_000003	NA	NA	NA	LMB2-1.2_000003
LMB2-1.2_000004	NA	NA	NA	LMB2-1.2_000004
LMB2-1.2_000005	NA	NA	NA	LMB2-1.2_000005
LMB2-1.2_000006	NA	NA	NA	LMB2-1.2_000006
LMB2-1.2_000007	NA	NA	NA	LMB2-1.2_000007
LMB2-1.2_000008	NA	NA	NA	LMB2-1.2_000008
LMB2-1.2_000009	NA	NA	NA	LMB2-1.2_000009
LMB2-1.2_000010	NA	NA	NA	LMB2-1.2_000010
LMB2-1.2_000011	NA	NA	NA	LMB2-1.2_000011
LMB2-1.2_000012	NA	NA	NA	LMB2-1.2_000012
LMB2-1.2_000013	NA	NA	NA	LMB2-1.2_000013
LMB2-1.2_000014	NA	NA	NA	LMB2-1.2_000014
LMB2-1.2_000015	NA	NA	NA	LMB2-1.2_000015
LMB2-1.2_000016	NA	NA	NA	LMB2-1.2_000016
LMB2-1.2_000017	NA	NA	NA	LMB2-1.2_000017
LMB2-1.2_000018	NA	NA	NA	LMB2-1.2_000018
LMB2-1.2_000019	NA	NA	NA	LMB2-1.2_000019
LMB2-1.2_000020	NA	NA	NA	LMB2-1.2_000020
LMB2-1.2_000021	NA	NA	NA	LMB2-1.2_000021
LMB2-1.2_000022	NA	NA	NA	LMB2-1.2_000022
LMB2-1.2_000023	NA	NA	NA	LMB2-1.2_000023
LMB2-1.2_000024	NA	NA	NA	LMB2-1.2_000024
LMB2-1.2_000025	NA	NA	NA	LMB2-1.2_000025
LMB2-1.2_000026	NA	NA	NA	LMB2-1.2_000026
LMB2-1.2_000027	NA	NA	NA	LMB2-1.2_000027
LMB2-1.2_000028	NA	NA	NA	LMB2-1.2_000028
LMB2-1.2_000029	NA	NA	NA	LMB2-1.2_000029
LMB2-1.2_000030	NA	NA	NA	LMB2-1.2_000030
LMB2-1.2_000031	NA	NA	NA	LMB2-1.2_000031
LMB2-1.2_000032	NA	NA	NA	LMB2-1.2_000032
LMB2-1.2_000033	NA	NA	NA	LMB2-1.2_000033
LMB2-1.2_000034	NA	NA	NA	LMB2-1.2_000034
LMB2-1.2_000035	NA	NA	NA	LMB2-1.2_000035
LMB2-1.2_000036	NA	NA	NA	LMB2-1.2_000036
LMB2-1.2_000037	NA	NA	NA	LMB2-1.2_000037
LMB2-1.2_000038	NA	NA	NA	LMB2-1.2_000038
LMB2-1.2_000039	NA	NA	NA	LMB2-1.2_000039
LMB2-1.2_000040	NA	NA	NA	LMB2-1.2_000040
LMB2-1.2_000041	NA	NA	NA	LMB2-1.2_000041
