Sample	Nbr reads	% mapped	Nbr multi-mapped	Nbr genic
LMB2_D1_	13'220'712	95.58% 	8'032'158	3'042'889
LMB2_D2_	11'441'583	94.36% 	7'112'891	2'485'189
LMB2_D4_	12'360'861	94.75% 	7'969'709	2'628'906
LMB2_D5_	12'874'359	96.10% 	7'792'148	3'117'791
LMB2_D6_	11'392'546	96.00% 	7'068'312	2'538'604
LMB2_M1_	13'792'536	96.77% 	4'320'978	4'860'580
LMB2_M2_	13'070'247	94.97% 	8'187'889	2'675'072
LMB2_M3_	12'166'334	96.09% 	7'077'717	2'828'834
LMB2_M5_	11'325'347	95.76% 	7'770'112	2'572'670
LMB2_M7_	12'888'087	96.31% 	9'107'391	2'856'289
