gene,kmer_cluster,kmer_fisher_pvalue,kmer_fisher_qvalue,cluster_name_original,centroid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,product,Isolate,orthogroup,ampo_positive,mhpa_positive
LMS4-1.2_001019,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTA6-1.2_000705,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWO13-1.2_000452,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTA6-1.2_000706,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWO13-1.2_000453,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM3X-1.2_000732,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMB2-1.2_000891,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,2697.96861353604,0.220140406517088,0.221100470921463,0.995657791227789,0.319416444957872,0.728425307403928,NA,Ig-like domain-containing protein,NA,NA,NA,NA
LMX7-1.2_001477,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWO12-1.2_003644,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWH12-1.2_003302,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWH10-1.2_002897,kmer_cluster_173,0.000673526801629234,0.0104022472696071,cluster.fasta1,centroid=LWH10-1.2_002897;seqs=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWH10-1.2_002896,kmer_cluster_173,0.000673526801629234,0.0104022472696071,cluster.fasta1,centroid=LWH10-1.2_002897;seqs=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWO14-1.2_001332,kmer_cluster_173,0.000673526801629234,0.0104022472696071,cluster.fasta1,centroid=LWH10-1.2_002897;seqs=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM3X-1.2_000475,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMB2-1.2_000635,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,1213.80226793182,0.298220041998419,0.165004716381219,1.80734253261844,0.0707088882349261,0.406664814675614,NA,TM0106 family RecB-like putative nuclease,NA,NA,NA,NA
LMX7-1.2_001220,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN7-1.2_000958,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMI11-1-1.1_002382,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMI13-1-1.1_002382,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMS4-1.2_000753,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTA6-1.2_000509,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWH10-1.2_002545,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWH11-1.2_004103,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWH12-1.2_003578,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWO12-1.2_000078,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWO13-1.2_000206,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LWO14-1.2_001087,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KHB019-1-1.1_001351,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM3X-1.2_002477,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMB2-1.2_002636,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13,515.827819119626,0.15578645951368,0.239567484552744,0.650282152457053,0.515509983436136,0.802458718364138,glmU;go_function=magnesium ion binding|0000287||IEA,UDP-N-acetylglucosamine diphosphorylase activity|0003977||IEA,glucosamine-1-phosphate N-acetyltransferase activity|0019134||IEA;go_process=cell morphogenesis|0000902||IEA,UDP-N-acetylglucosamine biosynthetic process|0006048||IEA,peptidoglycan biosynthetic process|0009252||IEA,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,NA,NA,NA,NA
LMX7-1.2_003221,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMS4-1.2_002779,kmer_cluster_119,1,1,cluster.fasta100,centroid=LM3X-1.2_002477;seqs=13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
