gene,kmer_cluster,kmer_fisher_pvalue,kmer_fisher_qvalue,cluster_name_original,centroid
LMS4-1.2_001019,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LTA6-1.2_000705,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LWO13-1.2_000452,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LTA6-1.2_000706,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LWO13-1.2_000453,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LM3X-1.2_000732,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LMB2-1.2_000891,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LMX7-1.2_001477,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LWO12-1.2_003644,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LWH12-1.2_003302,kmer_cluster_31,0.000673526801629234,0.0104022472696071,cluster.fasta0,centroid=LMS4-1.2_001019;seqs=10
LWH10-1.2_002897,kmer_cluster_173,0.000673526801629234,0.0104022472696071,cluster.fasta1,centroid=LWH10-1.2_002897;seqs=3
LWH10-1.2_002896,kmer_cluster_173,0.000673526801629234,0.0104022472696071,cluster.fasta1,centroid=LWH10-1.2_002897;seqs=3
LWO14-1.2_001332,kmer_cluster_173,0.000673526801629234,0.0104022472696071,cluster.fasta1,centroid=LWH10-1.2_002897;seqs=3
LM3X-1.2_000475,kmer_cluster_27,1,1,cluster.fasta10,centroid=LM3X-1.2_000475;seqs=15
