Isolate,orthogroup,genes,ampo_positive,mhpa_positive
KHB019,OG0000108,KHB019_001192,FALSE,FALSE
KHB019,OG0000108,KHB019_001369,FALSE,FALSE
KHB019,OG0000108,KHB019_002013,FALSE,FALSE
KHB019,OG0000108,KHB019_002048,FALSE,FALSE
KHB019,OG0000197,KHB019_002373,FALSE,FALSE
KHB019,OG0000359,KHB019_001486,FALSE,FALSE
KHB019,OG0001122,KHB019_001340,FALSE,FALSE
KHB019,OG0001681,KHB019_002124,FALSE,FALSE
KHB019,OG0001839,KHB019_002825,FALSE,FALSE
KHB019,OG0001904,KHB019_002350,FALSE,FALSE
KHB019,OG0001961,KHB019_002409,FALSE,FALSE
KHB019,OG0002112,KHB019_000768,FALSE,FALSE
KHB019,OG0002173,KHB019_000692,FALSE,FALSE
KHB019,OG0002174,KHB019_000728,FALSE,FALSE
KHB019,OG0002176,KHB019_001042,FALSE,FALSE
KHB019,OG0002178,KHB019_000032,FALSE,FALSE
KHB019,OG0002181,KHB019_001380,FALSE,FALSE
KHB019,OG0002191,KHB019_002351,FALSE,FALSE
KHB019,OG0002193,KHB019_002753,FALSE,FALSE
KHB019,OG0002194,KHB019_002827,FALSE,FALSE
KHB019,OG0002234,KHB019_001924,FALSE,FALSE
KHB019,OG0002278,KHB019_002503,FALSE,FALSE
KHB019,OG0002361,KHB019_001387,FALSE,FALSE
KHB019,OG0002362,KHB019_001388,FALSE,FALSE
KHB019,OG0002456,KHB019_001224,FALSE,FALSE
KHB019,OG0002477,KHB019_002670,FALSE,FALSE
KHB019,OG0002551,KHB019_002945,FALSE,FALSE
KHB019,OG0002665,KHB019_000405,FALSE,FALSE
KHB019,OG0002678,KHB019_001487,FALSE,FALSE
KHB019,OG0002801,KHB019_002832,FALSE,FALSE
KHB019,OG0002872,KHB019_002123,FALSE,FALSE
KHB019,OG0003032,KHB019_000111,FALSE,FALSE
KHB019,OG0003159,KHB019_001805,FALSE,FALSE
KHB019,OG0003161,KHB019_002129,FALSE,FALSE
KHB019,OG0003273,KHB019_002121,FALSE,FALSE
KHB019,OG0003274,KHB019_002125,FALSE,FALSE
KHB019,OG0003275,KHB019_002126,FALSE,FALSE
KHB019,OG0003488,KHB019_000834,FALSE,FALSE
KHB019,OG0003504,KHB019_002696,FALSE,FALSE
LBN7,OG0000100,LBN7-1.2_001579,FALSE,FALSE
LBN7,OG0000100,LBN7-1.2_002003,FALSE,FALSE
LBN7,OG0000100,LBN7-1.2_002428,FALSE,FALSE
LBN7,OG0000100,LBN7-1.2_003586,FALSE,FALSE
LBN7,OG0000108,LBN7-1.2_000977,FALSE,FALSE
LBN7,OG0000108,LBN7-1.2_001071,FALSE,FALSE
LBN7,OG0000108,LBN7-1.2_003743,FALSE,FALSE
LBN7,OG0000173,LBN7-1.2_001111,FALSE,FALSE
LBN7,OG0000173,LBN7-1.2_001118,FALSE,FALSE
LBN7,OG0000173,LBN7-1.2_001125,FALSE,FALSE
LBN7,OG0000197,LBN7-1.2_001163,FALSE,FALSE
LBN7,OG0000197,LBN7-1.2_001966,FALSE,FALSE
LBN7,OG0000344,LBN7-1.2_001133,FALSE,FALSE
LBN7,OG0000344,LBN7-1.2_001146,FALSE,FALSE
LBN7,OG0000359,LBN7-1.2_003395,FALSE,FALSE
LBN7,OG0000609,LBN7-1.2_002777,FALSE,FALSE
LBN7,OG0000609,LBN7-1.2_003467,FALSE,FALSE
LBN7,OG0001122,LBN7-1.2_000946,FALSE,FALSE
LBN7,OG0001122,LBN7-1.2_001005,FALSE,FALSE
LBN7,OG0001624,LBN7-1.2_000646,FALSE,FALSE
LBN7,OG0001624,LBN7-1.2_002643,FALSE,FALSE
LBN7,OG0001626,LBN7-1.2_001147,FALSE,FALSE
LBN7,OG0001626,LBN7-1.2_002167,FALSE,FALSE
LBN7,OG0001681,LBN7-1.2_001100,FALSE,FALSE
LBN7,OG0001681,LBN7-1.2_001169,FALSE,FALSE
LBN7,OG0001787,LBN7-1.2_001109,TRUE,FALSE
LBN7,OG0001787,LBN7-1.2_001127,TRUE,FALSE
LBN7,OG0001839,LBN7-1.2_002555,FALSE,FALSE
LBN7,OG0001860,LBN7-1.2_003663,FALSE,FALSE
LBN7,OG0001904,LBN7-1.2_000199,FALSE,FALSE
LBN7,OG0001923,LBN7-1.2_002764,FALSE,FALSE
