FAM10943-i1-1.1_000001,NA,hypothetical protein
FAM10943-i1-1.1_000002,NA,2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase
FAM10943-i1-1.1_000003,purD,phosphoribosylamine--glycine ligase
FAM10943-i1-1.1_000004,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
FAM10943-i1-1.1_000005,NA,phosphoribosylformylglycinamidine cyclo-ligase
FAM10943-i1-1.1_000006,NA,amidophosphoribosyltransferase
FAM10943-i1-1.1_000007,purL,phosphoribosylformylglycinamidine synthase subunit PurL
FAM10943-i1-1.1_000008,purQ,phosphoribosylformylglycinamidine synthase subunit PurQ
FAM10943-i1-1.1_000009,purS,phosphoribosylformylglycinamidine synthase subunit PurS
FAM10943-i1-1.1_000010,NA,phosphoribosylaminoimidazolesuccinocarboxamide synthase
FAM10943-i1-1.1_000011,purB,adenylosuccinate lyase
FAM10943-i1-1.1_000012,purK,5-(carboxyamino)imidazole ribonucleotide synthase
FAM10943-i1-1.1_000013,purE,5-(carboxyamino)imidazole ribonucleotide mutase
FAM10943-i1-1.1_000014,ltrA,group II intron reverse transcriptase/maturase
FAM10943-i1-1.1_000015,NA,homoserine kinase
FAM10943-i1-1.1_000016,NA,homoserine dehydrogenase
FAM10943-i1-1.1_000017,NA,threonine synthase
FAM10943-i1-1.1_000018,NA,helix-turn-helix transcriptional regulator
FAM10943-i1-1.1_000019,NA,hypothetical protein
FAM10943-i1-1.1_000020,budA,acetolactate decarboxylase
FAM10943-i1-1.1_000021,alsS,acetolactate synthase AlsS
FAM10943-i1-1.1_000022,NA,formate--tetrahydrofolate ligase
FAM10943-i1-1.1_000023,NA,AI-2E family transporter
FAM10943-i1-1.1_000024,NA,class I SAM-dependent methyltransferase
FAM10943-i1-1.1_000025,ribB,3%2C4-dihydroxy-2-butanone-4-phosphate synthase
FAM10943-i1-1.1_000026,NA,HAD hydrolase-like protein
FAM10943-i1-1.1_000027,NA,orotate phosphoribosyltransferase
FAM10943-i1-1.1_000028,pyrF,orotidine-5'-phosphate decarboxylase
FAM10943-i1-1.1_000029,NA,dihydroorotate dehydrogenase
FAM10943-i1-1.1_000030,NA,dihydroorotase
FAM10943-i1-1.1_000031,NA,aspartate carbamoyltransferase catalytic subunit
FAM10943-i1-1.1_000032,NA,LysR family transcriptional regulator
FAM10943-i1-1.1_000033,NA,AzlD domain-containing protein
FAM10943-i1-1.1_000034,NA,AzlC family ABC transporter permease
FAM10943-i1-1.1_000035,NA,HAMP domain-containing histidine kinase
FAM10943-i1-1.1_000036,NA,response regulator transcription factor
FAM10943-i1-1.1_000037,NA,IMP dehydrogenase
FAM10943-i1-1.1_000038,NA,sugar-binding transcriptional regulator
FAM10943-i1-1.1_000039,deoD,purine-nucleoside phosphorylase
