LMB2-1.2_000005,NA,AAA family ATPase
LMB2-1.2_000012,NA,PD-(D/E)XK nuclease-like domain-containing protein
LMB2-1.2_000013,bet;go_function=DNA binding|0003677||IEA;go_process=DNA metabolic process|0006259||IEA,phage recombination protein Bet
LMB2-1.2_000030,NA,DNA cytosine methyltransferase
LMB2-1.2_000033,NA,hypothetical protein
LMB2-1.2_000041,NA,phage portal protein
LMB2-1.2_000042,NA,HK97 family phage prohead protease
LMB2-1.2_000043,NA,phage major capsid protein
LMB2-1.2_000052,NA,tape measure protein
LMB2-1.2_000058,NA,M23 family metallopeptidase
LMB2-1.2_000062,NA,hypothetical protein
LMB2-1.2_000063,NA,tyrosine-type recombinase/integrase
LMB2-1.2_000064,NA,glycoside hydrolase family 15 protein
LMB2-1.2_000065,NA,glucose-6-phosphate dehydrogenase
LMB2-1.2_000066,NA,AEC family transporter
LMB2-1.2_000067,NA,CGNR zinc finger domain-containing protein
LMB2-1.2_000068,NA,threonine/serine exporter family protein
LMB2-1.2_000069,NA,MarR family transcriptional regulator
LMB2-1.2_000070,NA,organic hydroperoxide resistance protein
LMB2-1.2_000071,NA,zinc-binding dehydrogenase
LMB2-1.2_000072,NA,RidA family protein
LMB2-1.2_000073,NA,DNA polymerase IV
LMB2-1.2_000074,NA,DUF1304 domain-containing protein
LMB2-1.2_000075,NA,CPBP family intramembrane metalloprotease
LMB2-1.2_000076,trmB;go_function=tRNA (guanine-N7-)-methyltransferase activity|0008176||IEA;go_process=tRNA modification|0006400||IEA,tRNA (guanosine(46)-N7)-methyltransferase TrmB
LMB2-1.2_000077,NA,DUF3097 domain-containing protein
LMB2-1.2_000078,NA,TPM domain-containing protein
LMB2-1.2_000079,NA,PspA/IM30 family protein
LMB2-1.2_000080,NA,arginase family protein
LMB2-1.2_000081,NA,Fe-S oxidoreductase
LMB2-1.2_000082,NA,SIP domain-containing protein
LMB2-1.2_000083,NA,tyrosine-protein phosphatase
LMB2-1.2_000084,NA,carboxymuconolactone decarboxylase family protein
LMB2-1.2_000085,NA,alpha/beta hydrolase
LMB2-1.2_000086,NA,ABC transporter substrate-binding protein
LMB2-1.2_000087,NA,ABC transporter permease
LMB2-1.2_000088,NA,ABC transporter permease
LMB2-1.2_000089,NA,ABC transporter ATP-binding protein
LMB2-1.2_000090,NA,ABC transporter ATP-binding protein
LMB2-1.2_000091,NA,N-acetyltransferase family protein
LMB2-1.2_000092,NA,uracil-DNA glycosylase
LMB2-1.2_000093,NA,SDR family oxidoreductase
LMB2-1.2_000094,NA,DMT family transporter
