Orthogroup,sample,genes,gene_number
OG0002971,LBN7.1.2,LBN7-1.2_001106,1106
OG0002149,LBN7.1.2,LBN7-1.2_001108,1108
OG0001787,LBN7.1.2,LBN7-1.2_001109,1109
OG0002972,LBN7.1.2,LBN7-1.2_001114,1114
OG0002973,LBN7.1.2,LBN7-1.2_001115,1115
OG0002149,LBN7.1.2,LBN7-1.2_001124,1124
OG0001787,LBN7.1.2,LBN7-1.2_001127,1127
OG0001787,LM3X.1.2,LM3X-1.2_001920,1920
OG0002973,LM3X.1.2,LM3X-1.2_001923,1923
OG0002972,LM3X.1.2,LM3X-1.2_001924,1924
OG0001787,LM3X.1.2,LM3X-1.2_001929,1929
OG0002149,LM3X.1.2,LM3X-1.2_001930,1930
OG0002971,LM3X.1.2,LM3X-1.2_001932,1932
OG0001787,LMB2.1.2,LMB2-1.2_002079,2079
OG0002973,LMB2.1.2,LMB2-1.2_002082,2082
OG0002972,LMB2.1.2,LMB2-1.2_002083,2083
OG0001787,LMB2.1.2,LMB2-1.2_002088,2088
OG0002149,LMB2.1.2,LMB2-1.2_002089,2089
OG0002971,LMB2.1.2,LMB2-1.2_002091,2091
OG0001787,LMS4.1.2,LMS4-1.2_002647,2647
OG0002149,LMS4.1.2,LMS4-1.2_002651,2651
OG0002973,LMS4.1.2,LMS4-1.2_002662,2662
OG0002972,LMS4.1.2,LMS4-1.2_002663,2663
OG0001787,LMS4.1.2,LMS4-1.2_002668,2668
OG0002149,LMS4.1.2,LMS4-1.2_002669,2669
OG0002971,LMS4.1.2,LMS4-1.2_002671,2671
OG0001787,LMX7.1.2,LMX7-1.2_002664,2664
OG0002973,LMX7.1.2,LMX7-1.2_002667,2667
OG0002972,LMX7.1.2,LMX7-1.2_002668,2668
OG0001787,LMX7.1.2,LMX7-1.2_002673,2673
OG0002149,LMX7.1.2,LMX7-1.2_002674,2674
OG0002971,LMX7.1.2,LMX7-1.2_002676,2676
OG0001787,LTA6.1.2,LTA6-1.2_001926,1926
OG0002149,LTA6.1.2,LTA6-1.2_001930,1930
OG0002973,LTA6.1.2,LTA6-1.2_001941,1941
OG0002972,LTA6.1.2,LTA6-1.2_001942,1942
OG0001787,LTA6.1.2,LTA6-1.2_001947,1947
OG0002149,LTA6.1.2,LTA6-1.2_001948,1948
OG0002971,LTA6.1.2,LTA6-1.2_001950,1950
OG0002971,LWH10.1.2,LWH10-1.2_002693,2693
OG0002149,LWH10.1.2,LWH10-1.2_002695,2695
OG0001787,LWH10.1.2,LWH10-1.2_002696,2696
OG0002972,LWH10.1.2,LWH10-1.2_002701,2701
OG0002973,LWH10.1.2,LWH10-1.2_002702,2702
OG0002149,LWH10.1.2,LWH10-1.2_002711,2711
OG0001787,LWH10.1.2,LWH10-1.2_002714,2714
OG0002971,LWH11.1.2,LWH11-1.2_000149,149
OG0002149,LWH11.1.2,LWH11-1.2_000151,151
OG0001787,LWH11.1.2,LWH11-1.2_000152,152
OG0002972,LWH11.1.2,LWH11-1.2_000158,158
OG0002973,LWH11.1.2,LWH11-1.2_000159,159
OG0002149,LWH11.1.2,LWH11-1.2_000168,168
OG0001787,LWH11.1.2,LWH11-1.2_000171,171
OG0002971,LWH12.1.2,LWH12-1.2_002139,2139
OG0002149,LWH12.1.2,LWH12-1.2_002141,2141
OG0001787,LWH12.1.2,LWH12-1.2_002142,2142
OG0002972,LWH12.1.2,LWH12-1.2_002147,2147
OG0002973,LWH12.1.2,LWH12-1.2_002148,2148
OG0002149,LWH12.1.2,LWH12-1.2_002159,2159
OG0001787,LWH12.1.2,LWH12-1.2_002163,2163
OG0002971,LWH13.1.2,LWH13-1.2_002525,2525
OG0002149,LWH13.1.2,LWH13-1.2_002527,2527
OG0001787,LWH13.1.2,LWH13-1.2_002528,2528
OG0002972,LWH13.1.2,LWH13-1.2_002533,2533
OG0002973,LWH13.1.2,LWH13-1.2_002534,2534
OG0001787,LWH13.1.2,LWH13-1.2_002537,2537
OG0002971,LWH3.1.2,LWH3-1.2_000227,227
OG0002149,LWH3.1.2,LWH3-1.2_000228,228
OG0001787,LWH3.1.2,LWH3-1.2_000242,242
OG0001787,LWH3.1.2,LWH3-1.2_000244,244
OG0002149,LWH3.1.2,LWH3-1.2_000247,247
OG0002973,LWH3.1.2,LWH3-1.2_000254,254
OG0002972,LWH3.1.2,LWH3-1.2_000255,255
OG0001787,LWH3.1.2,LWH3-1.2_000265,265
OG0002149,LWH3.1.2,LWH3-1.2_000273,273
OG0001787,LWH7.1.2,LWH7-1.2_003375,3375
OG0002972,LWH7.1.2,LWH7-1.2_003385,3385
OG0002973,LWH7.1.2,LWH7-1.2_003386,3386
OG0002149,LWH7.1.2,LWH7-1.2_003400,3400
OG0001787,LWH7.1.2,LWH7-1.2_003404,3404
OG0002149,LWH7.1.2,LWH7-1.2_003446,3446
